Timestamp,AMZN,RSI,AMZN_rsi_entry_exit,AMZN_rsi_balance,AMZN_position,AMZN_entry_exit_position,AMZN_portfolio_holdings,AMZN_portfolio_cash,AMZN_portfolio_total,AMZN_portfolio_daily_returns,AMZN_portfolio_cumulative_returns
2017-10-12,1001.07,89.79869766425777,0,0,0,0.0,0.0,1100000.0,1100000.0,0.0,0.0
2017-10-13,1003.44,90.3582202305466,0,0,0,0.0,0.0,1100000.0,1100000.0,0.0,0.0
2017-10-16,1006.34,91.02732061593842,0,0,0,0.0,0.0,1100000.0,1100000.0,0.0,0.0
2017-10-17,1008.99,91.6179177780866,0,0,0,0.0,0.0,1100000.0,1100000.0,0.0,0.0
2017-10-18,996.99,68.82467019736208,0,0,0,0.0,0.0,1100000.0,1100000.0,0.0,0.0
2017-10-19,986.6,55.533267650519825,0,0,0,0.0,0.0,1100000.0,1100000.0,0.0,0.0
2017-10-20,982.91,51.60091562134531,0,0,0,0.0,0.0,1100000.0,1100000.0,0.0,0.0
2017-10-23,966.34,38.12948467236211,0,0,0,0.0,0.0,1100000.0,1100000.0,0.0,0.0
2017-10-24,976.0,47.07894634348801,0,0,0,0.0,0.0,1100000.0,1100000.0,0.0,0.0
2017-10-25,972.91,44.77694041499934,0,0,0,0.0,0.0,1100000.0,1100000.0,0.0,0.0
2017-10-26,972.54,44.48752697005641,0,0,0,0.0,0.0,1100000.0,1100000.0,0.0,0.0
2017-10-27,1100.99,84.10834115936532,0,0,0,0.0,0.0,1100000.0,1100000.0,0.0,0.0
2017-10-30,1110.85,85.02022279922856,0,0,0,0.0,0.0,1100000.0,1100000.0,0.0,0.0
2017-10-31,1105.67,82.2647670186262,0,0,0,0.0,0.0,1100000.0,1100000.0,0.0,0.0
2017-11-01,1103.5,81.04220771436071,0,0,0,0.0,0.0,1100000.0,1100000.0,0.0,0.0
2017-11-02,1094.0,75.57863803082151,0,0,0,0.0,0.0,1100000.0,1100000.0,0.0,0.0
2017-11-03,1111.55,78.54728462747731,0,0,0,0.0,0.0,1100000.0,1100000.0,0.0,0.0
2017-11-06,1120.46,79.92393983398884,0,0,0,0.0,0.0,1100000.0,1100000.0,0.0,0.0
2017-11-07,1123.14,80.3454619182474,0,0,0,0.0,0.0,1100000.0,1100000.0,0.0,0.0
2017-11-08,1132.86,81.87873436870652,0,0,0,0.0,0.0,1100000.0,1100000.0,0.0,0.0
2017-11-09,1129.0,79.15409875133014,0,0,0,0.0,0.0,1100000.0,1100000.0,0.0,0.0
2017-11-10,1125.34,76.47309604127517,0,0,0,0.0,0.0,1100000.0,1100000.0,0.0,0.0
2017-11-13,1129.21,77.37348245167038,0,0,0,0.0,0.0,1100000.0,1100000.0,0.0,0.0
2017-11-14,1136.84,79.12368776942533,0,0,0,0.0,0.0,1100000.0,1100000.0,0.0,0.0
2017-11-15,1127.09,71.29371752464772,0,0,0,0.0,0.0,1100000.0,1100000.0,0.0,0.0
2017-11-16,1136.95,74.16628503682402,0,0,0,0.0,0.0,1100000.0,1100000.0,0.0,0.0
2017-11-17,1129.87,68.68281809165566,0,0,0,0.0,0.0,1100000.0,1100000.0,0.0,0.0
2017-11-20,1126.56,66.14253697782075,0,0,0,0.0,0.0,1100000.0,1100000.0,0.0,0.0
2017-11-21,1139.58,70.85397504530891,0,0,0,0.0,0.0,1100000.0,1100000.0,0.0,0.0
2017-11-22,1156.16,75.64859446061391,0,0,0,0.0,0.0,1100000.0,1100000.0,0.0,0.0
2017-11-24,1186.41,81.73848992485856,0,0,0,0.0,0.0,1100000.0,1100000.0,0.0,0.0
2017-11-27,1195.62,83.16292963759125,0,0,0,0.0,0.0,1100000.0,1100000.0,0.0,0.0
2017-11-28,1193.6,81.61158451156868,0,0,0,0.0,0.0,1100000.0,1100000.0,0.0,0.0
2017-11-29,1161.21,61.25386200061366,0,0,0,0.0,0.0,1100000.0,1100000.0,0.0,0.0
2017-11-30,1176.59,65.76008735205482,0,0,0,0.0,0.0,1100000.0,1100000.0,0.0,0.0
2017-12-01,1161.83,58.50466802524626,0,0,0,0.0,0.0,1100000.0,1100000.0,0.0,0.0
2017-12-04,1133.95,47.50451087938843,0,0,0,0.0,0.0,1100000.0,1100000.0,0.0,0.0
2017-12-05,1141.58,50.34356187448449,0,0,0,0.0,0.0,1100000.0,1100000.0,0.0,0.0
2017-12-06,1152.94,54.42134389435237,0,0,0,0.0,0.0,1100000.0,1100000.0,0.0,0.0
2017-12-07,1160.0,56.8672482392972,0,0,0,0.0,0.0,1100000.0,1100000.0,0.0,0.0
2017-12-08,1161.99,57.580187551304796,0,0,0,0.0,0.0,1100000.0,1100000.0,0.0,0.0
2017-12-11,1169.15,60.20950018202723,0,0,0,0.0,0.0,1100000.0,1100000.0,0.0,0.0
2017-12-12,1165.56,58.199788276697234,0,0,0,0.0,0.0,1100000.0,1100000.0,0.0,0.0
2017-12-13,1164.48,57.55760601874453,0,0,0,0.0,0.0,1100000.0,1100000.0,0.0,0.0
2017-12-14,1175.06,62.10851291547184,0,0,0,0.0,0.0,1100000.0,1100000.0,0.0,0.0
2017-12-15,1178.98,63.71042207691979,0,0,0,0.0,0.0,1100000.0,1100000.0,0.0,0.0
2017-12-18,1190.8,68.21275880526203,0,0,0,0.0,0.0,1100000.0,1100000.0,0.0,0.0
2017-12-19,1187.43,65.63317647191678,0,0,0,0.0,0.0,1100000.0,1100000.0,0.0,0.0
2017-12-20,1177.29,58.266550319798085,0,0,0,0.0,0.0,1100000.0,1100000.0,0.0,0.0
2017-12-21,1174.87,56.582472976139705,0,0,0,0.0,0.0,1100000.0,1100000.0,0.0,0.0
2017-12-22,1168.33,52.06391918338929,0,0,0,0.0,0.0,1100000.0,1100000.0,0.0,0.0
2017-12-26,1176.94,57.07788676684514,0,0,0,0.0,0.0,1100000.0,1100000.0,0.0,0.0
2017-12-27,1181.81,59.72537365620868,0,0,0,0.0,0.0,1100000.0,1100000.0,0.0,0.0
2017-12-28,1185.99,61.9628843046832,0,0,0,0.0,0.0,1100000.0,1100000.0,0.0,0.0
2017-12-29,1169.54,49.852281947326084,0,0,0,0.0,0.0,1100000.0,1100000.0,0.0,0.0
2018-01-02,1189.0,60.102145528064504,0,0,0,0.0,0.0,1100000.0,1100000.0,0.0,0.0
2018-01-03,1202.74,65.6156651516857,0,0,0,0.0,0.0,1100000.0,1100000.0,0.0,0.0
2018-01-04,1209.64,68.07716958403614,0,0,0,0.0,0.0,1100000.0,1100000.0,0.0,0.0
2018-01-05,1229.07,73.91896141091041,0,0,0,0.0,0.0,1100000.0,1100000.0,0.0,0.0
2018-01-08,1246.95,78.02980379652179,0,0,0,0.0,0.0,1100000.0,1100000.0,0.0,0.0
2018-01-09,1253.12,79.2818818128004,0,0,0,0.0,0.0,1100000.0,1100000.0,0.0,0.0
2018-01-10,1254.29,79.52770462473643,0,0,0,0.0,0.0,1100000.0,1100000.0,0.0,0.0
2018-01-11,1276.77,83.6653224756331,0,0,0,0.0,0.0,1100000.0,1100000.0,0.0,0.0
2018-01-12,1305.2,87.27831147651179,0,0,0,0.0,0.0,1100000.0,1100000.0,0.0,0.0
2018-01-16,1305.16,87.24814303406143,0,0,0,0.0,0.0,1100000.0,1100000.0,0.0,0.0
2018-01-17,1295.0,79.49337687280092,0,0,0,0.0,0.0,1100000.0,1100000.0,0.0,0.0
2018-01-18,1293.22,78.14137483203254,0,0,0,0.0,0.0,1100000.0,1100000.0,0.0,0.0
2018-01-19,1294.58,78.45248908445666,0,0,0,0.0,0.0,1100000.0,1100000.0,0.0,0.0
2018-01-22,1327.45,84.41095898761421,0,0,0,0.0,0.0,1100000.0,1100000.0,0.0,0.0
2018-01-23,1363.05,88.30328583750064,0,0,0,0.0,0.0,1100000.0,1100000.0,0.0,0.0
2018-01-24,1357.51,84.64878642843803,0,0,0,0.0,0.0,1100000.0,1100000.0,0.0,0.0
2018-01-25,1377.31,86.81561187493573,0,0,0,0.0,0.0,1100000.0,1100000.0,0.0,0.0
2018-01-26,1401.19,88.91276884525905,0,0,0,0.0,0.0,1100000.0,1100000.0,0.0,0.0
2018-01-29,1417.68,90.11871572035133,0,0,0,0.0,0.0,1100000.0,1100000.0,0.0,0.0
2018-01-30,1438.19,91.40994538439362,0,0,0,0.0,0.0,1100000.0,1100000.0,0.0,0.0
2018-01-31,1451.39,92.14404477223057,0,0,0,0.0,0.0,1100000.0,1100000.0,0.0,0.0
2018-02-01,1388.71,63.508595907124274,0,0,0,0.0,0.0,1100000.0,1100000.0,0.0,0.0
2018-02-02,1429.87,70.25350869294485,0,0,0,0.0,0.0,1100000.0,1100000.0,0.0,0.0
2018-02-05,1390.0,58.596529546664385,0,0,0,0.0,0.0,1100000.0,1100000.0,0.0,0.0
2018-02-06,1442.84,66.72652381644737,0,0,0,0.0,0.0,1100000.0,1100000.0,0.0,0.0
2018-02-07,1415.15,59.880243328282205,0,0,0,0.0,0.0,1100000.0,1100000.0,0.0,0.0
2018-02-08,1350.51,47.293954370417445,0,0,0,0.0,0.0,1100000.0,1100000.0,0.0,0.0
2018-02-09,1339.34,45.45933272065551,0,0,0,0.0,0.0,1100000.0,1100000.0,0.0,0.0
2018-02-12,1386.97,53.927139868531405,0,0,0,0.0,0.0,1100000.0,1100000.0,0.0,0.0
2018-02-13,1413.66,57.988267050995574,0,0,0,0.0,0.0,1100000.0,1100000.0,0.0,0.0
2018-02-14,1451.08,63.06056098735194,0,0,0,0.0,0.0,1100000.0,1100000.0,0.0,0.0
2018-02-15,1461.76,64.42273120777017,0,0,0,0.0,0.0,1100000.0,1100000.0,0.0,0.0
2018-02-16,1448.59,61.32427392129885,0,0,0,0.0,0.0,1100000.0,1100000.0,0.0,0.0
2018-02-20,1468.36,64.19644874432066,0,0,0,0.0,0.0,1100000.0,1100000.0,0.0,0.0
2018-02-21,1482.92,66.24756243779468,0,0,0,0.0,0.0,1100000.0,1100000.0,0.0,0.0
2018-02-22,1484.59,66.49219943502874,0,0,0,0.0,0.0,1100000.0,1100000.0,0.0,0.0
2018-02-23,1500.0,68.80999981798244,0,0,0,0.0,0.0,1100000.0,1100000.0,0.0,0.0
2018-02-26,1521.95,71.88763327372928,0,0,0,0.0,0.0,1100000.0,1100000.0,0.0,0.0
2018-02-27,1512.0,68.48404538042682,0,0,0,0.0,0.0,1100000.0,1100000.0,0.0,0.0
2018-02-28,1512.45,68.55884995049837,0,0,0,0.0,0.0,1100000.0,1100000.0,0.0,0.0
2018-03-01,1492.0,61.22148963466042,0,0,0,0.0,0.0,1100000.0,1100000.0,0.0,0.0
2018-03-02,1500.21,62.98842717958768,0,0,0,0.0,0.0,1100000.0,1100000.0,0.0,0.0
2018-03-05,1523.61,67.65565150578198,0,0,0,0.0,0.0,1100000.0,1100000.0,0.0,0.0
2018-03-06,1537.18,70.08625129642869,0,0,0,0.0,0.0,1100000.0,1100000.0,0.0,0.0
2018-03-07,1544.9,71.44277084966855,0,0,0,0.0,0.0,1100000.0,1100000.0,0.0,0.0
2018-03-08,1551.67,72.65120308692522,0,0,0,0.0,0.0,1100000.0,1100000.0,0.0,0.0
2018-03-09,1578.94,77.0060574668561,0,0,0,0.0,0.0,1100000.0,1100000.0,0.0,0.0
2018-03-12,1598.5,79.59548039205339,0,0,0,0.0,0.0,1100000.0,1100000.0,0.0,0.0
2018-03-13,1588.13,74.64382054142175,0,0,0,0.0,0.0,1100000.0,1100000.0,0.0,0.0
2018-03-14,1591.0,75.11978782945366,0,0,0,0.0,0.0,1100000.0,1100000.0,0.0,0.0
2018-03-15,1582.75,70.87075680744204,0,0,0,0.0,0.0,1100000.0,1100000.0,0.0,0.0
2018-03-16,1571.69,65.36356796244539,0,0,0,0.0,0.0,1100000.0,1100000.0,0.0,0.0
2018-03-19,1545.58,54.29625884010099,0,0,0,0.0,0.0,1100000.0,1100000.0,0.0,0.0
2018-03-20,1586.52,64.70721610214892,0,0,0,0.0,0.0,1100000.0,1100000.0,0.0,0.0
2018-03-21,1582.93,63.30226166642915,0,0,0,0.0,0.0,1100000.0,1100000.0,0.0,0.0
2018-03-22,1544.92,50.42280747534215,0,0,0,0.0,0.0,1100000.0,1100000.0,0.0,0.0
2018-03-23,1495.55,38.9777547276328,0,0,0,0.0,0.0,1100000.0,1100000.0,0.0,0.0
2018-03-26,1555.87,53.351859555882854,0,0,0,0.0,0.0,1100000.0,1100000.0,0.0,0.0
2018-03-27,1497.12,42.514296242444956,0,0,0,0.0,0.0,1100000.0,1100000.0,0.0,0.0
2018-03-28,1429.19,33.71550538789407,0,0,0,0.0,0.0,1100000.0,1100000.0,0.0,0.0
2018-03-29,1445.96,37.2763130634199,0,0,0,0.0,0.0,1100000.0,1100000.0,0.0,0.0
2018-04-02,1371.92,29.501761421177918,1,1,500,500.0,685960.0,414040.0,1100000.0,0.0,0.0
2018-04-03,1392.05,33.68025831403256,0,1,0,-500.0,0.0,1110065.0,1110065.0,0.009149999999999991,0.009149999999999991
2018-04-04,1410.58,37.47090325836496,0,1,0,0.0,0.0,1110065.0,1110065.0,0.0,0.009149999999999991
2018-04-05,1451.75,45.20288646735213,0,1,0,0.0,0.0,1110065.0,1110065.0,0.0,0.009149999999999991
2018-04-06,1405.21,39.12604750650278,0,1,0,0.0,0.0,1110065.0,1110065.0,0.0,0.009149999999999991
2018-04-09,1405.91,39.2625050620017,0,1,0,0.0,0.0,1110065.0,1110065.0,0.0,0.009149999999999991
2018-04-10,1436.26,45.18228005511081,0,1,0,0.0,0.0,1110065.0,1110065.0,0.0,0.009149999999999991
2018-04-11,1427.29,43.78099906657891,0,1,0,0.0,0.0,1110065.0,1110065.0,0.0,0.009149999999999991
2018-04-12,1448.48,48.013018856349476,0,1,0,0.0,0.0,1110065.0,1110065.0,0.0,0.009149999999999991
2018-04-13,1431.11,44.93231658445625,0,1,0,0.0,0.0,1110065.0,1110065.0,0.0,0.009149999999999991
2018-04-16,1440.63,47.003105160121876,0,1,0,0.0,0.0,1110065.0,1110065.0,0.0,0.009149999999999991
2018-04-17,1503.63,58.48275356663137,0,1,0,0.0,0.0,1110065.0,1110065.0,0.0,0.009149999999999991
2018-04-18,1527.85,61.99888856614528,-1,0,-500,-500.0,-763925.0,1873990.0,1110065.0,0.0,0.009149999999999991
2018-04-19,1556.73,65.83267978086364,0,0,0,500.0,0.0,1095625.0,1095625.0,-0.013008247264799766,-0.003977272727272663
2018-04-20,1527.5,59.12472106687333,0,0,0,0.0,0.0,1095625.0,1095625.0,0.0,-0.003977272727272663
2018-04-23,1517.85,56.994438018831154,0,0,0,0.0,0.0,1095625.0,1095625.0,0.0,-0.003977272727272663
2018-04-24,1460.61,46.05744670700998,0,0,0,0.0,0.0,1095625.0,1095625.0,0.0,-0.003977272727272663
2018-04-25,1461.74,46.28355109713588,0,0,0,0.0,0.0,1095625.0,1095625.0,0.0,-0.003977272727272663
2018-04-26,1519.28,56.58055098874873,0,0,0,0.0,0.0,1095625.0,1095625.0,0.0,-0.003977272727272663
2018-04-27,1572.76,63.75557914750638,0,0,0,0.0,0.0,1095625.0,1095625.0,0.0,-0.003977272727272663
2018-04-30,1566.13,62.336644660244325,0,0,0,0.0,0.0,1095625.0,1095625.0,0.0,-0.003977272727272663
2018-05-01,1582.26,64.47396314014735,0,0,0,0.0,0.0,1095625.0,1095625.0,0.0,-0.003977272727272663
2018-05-02,1570.53,61.64722922159907,0,0,0,0.0,0.0,1095625.0,1095625.0,0.0,-0.003977272727272663
2018-05-03,1570.8,61.69018621203689,0,0,0,0.0,0.0,1095625.0,1095625.0,0.0,-0.003977272727272663
2018-05-04,1580.99,63.40881275031022,0,0,0,0.0,0.0,1095625.0,1095625.0,0.0,-0.003977272727272663
2018-05-07,1599.86,66.50095265865829,0,0,0,0.0,0.0,1095625.0,1095625.0,0.0,-0.003977272727272663
2018-05-08,1592.39,64.11771758615694,0,0,0,0.0,0.0,1095625.0,1095625.0,0.0,-0.003977272727272663
2018-05-09,1606.87,66.68890302557422,0,0,0,0.0,0.0,1095625.0,1095625.0,0.0,-0.003977272727272663
2018-05-10,1609.42,67.14950350629611,0,0,0,0.0,0.0,1095625.0,1095625.0,0.0,-0.003977272727272663
2018-05-11,1603.32,64.76910064331948,0,0,0,0.0,0.0,1095625.0,1095625.0,0.0,-0.003977272727272663
2018-05-14,1602.0,64.221717823107,0,0,0,0.0,0.0,1095625.0,1095625.0,0.0,-0.003977272727272663
2018-05-15,1576.5,54.36050141040837,0,0,0,0.0,0.0,1095625.0,1095625.0,0.0,-0.003977272727272663
2018-05-16,1587.75,57.555288976539764,0,0,0,0.0,0.0,1095625.0,1095625.0,0.0,-0.003977272727272663
2018-05-17,1581.37,55.123834257442915,0,0,0,0.0,0.0,1095625.0,1095625.0,0.0,-0.003977272727272663
2018-05-18,1574.5,52.47167601684634,0,0,0,0.0,0.0,1095625.0,1095625.0,0.0,-0.003977272727272663
2018-05-21,1585.66,56.26929541587127,0,0,0,0.0,0.0,1095625.0,1095625.0,0.0,-0.003977272727272663
2018-05-22,1581.39,54.42069028322153,0,0,0,0.0,0.0,1095625.0,1095625.0,0.0,-0.003977272727272663
2018-05-23,1601.86,61.20885982130752,0,0,0,0.0,0.0,1095625.0,1095625.0,0.0,-0.003977272727272663
2018-05-24,1603.48,61.71030277332586,0,0,0,0.0,0.0,1095625.0,1095625.0,0.0,-0.003977272727272663
2018-05-25,1609.62,63.68709414794235,0,0,0,0.0,0.0,1095625.0,1095625.0,0.0,-0.003977272727272663
2018-05-29,1612.88,64.7603834457902,0,0,0,0.0,0.0,1095625.0,1095625.0,0.0,-0.003977272727272663
2018-05-30,1625.87,68.83819741012258,0,0,0,0.0,0.0,1095625.0,1095625.0,0.0,-0.003977272727272663
2018-05-31,1630.14,70.10181949777986,0,0,0,0.0,0.0,1095625.0,1095625.0,0.0,-0.003977272727272663
2018-06-01,1642.91,73.65208911128722,0,0,0,0.0,0.0,1095625.0,1095625.0,0.0,-0.003977272727272663
2018-06-04,1665.4,78.6200605976574,0,0,0,0.0,0.0,1095625.0,1095625.0,0.0,-0.003977272727272663
2018-06-05,1696.48,83.42026335205458,0,0,0,0.0,0.0,1095625.0,1095625.0,0.0,-0.003977272727272663
2018-06-06,1697.78,83.59147858177683,0,0,0,0.0,0.0,1095625.0,1095625.0,0.0,-0.003977272727272663
2018-06-07,1689.27,77.75142513881052,0,0,0,0.0,0.0,1095625.0,1095625.0,0.0,-0.003977272727272663
2018-06-08,1682.52,73.24175027253219,0,0,0,0.0,0.0,1095625.0,1095625.0,0.0,-0.003977272727272663
2018-06-11,1689.62,74.94047048013664,0,0,0,0.0,0.0,1095625.0,1095625.0,0.0,-0.003977272727272663
2018-06-12,1698.73,77.02029247283403,0,0,0,0.0,0.0,1095625.0,1095625.0,0.0,-0.003977272727272663
2018-06-13,1704.81,78.35259192742123,0,0,0,0.0,0.0,1095625.0,1095625.0,0.0,-0.003977272727272663
2018-06-14,1723.75,81.970620688209,0,0,0,0.0,0.0,1095625.0,1095625.0,0.0,-0.003977272727272663
2018-06-15,1716.26,76.36264157155485,0,0,0,0.0,0.0,1095625.0,1095625.0,0.0,-0.003977272727272663
2018-06-18,1724.83,78.25404088097352,0,0,0,0.0,0.0,1095625.0,1095625.0,0.0,-0.003977272727272663
2018-06-19,1736.01,80.5141159824284,0,0,0,0.0,0.0,1095625.0,1095625.0,0.0,-0.003977272727272663
2018-06-20,1750.07,82.9851237274998,0,0,0,0.0,0.0,1095625.0,1095625.0,0.0,-0.003977272727272663
2018-06-21,1730.2,69.20477808657598,0,0,0,0.0,0.0,1095625.0,1095625.0,0.0,-0.003977272727272663
2018-06-22,1715.06,60.674700096829035,0,0,0,0.0,0.0,1095625.0,1095625.0,0.0,-0.003977272727272663
2018-06-25,1663.17,41.292490515163756,0,0,0,0.0,0.0,1095625.0,1095625.0,0.0,-0.003977272727272663
2018-06-26,1691.19,50.73479301311068,0,0,0,0.0,0.0,1095625.0,1095625.0,0.0,-0.003977272727272663
2018-06-27,1660.0,42.31690920899383,0,0,0,0.0,0.0,1095625.0,1095625.0,0.0,-0.003977272727272663
2018-06-28,1701.5,53.67914533241671,0,0,0,0.0,0.0,1095625.0,1095625.0,0.0,-0.003977272727272663
2018-06-29,1699.67,53.166035838044785,0,0,0,0.0,0.0,1095625.0,1095625.0,0.0,-0.003977272727272663
2018-07-02,1713.75,56.704059190341525,0,0,0,0.0,0.0,1095625.0,1095625.0,0.0,-0.003977272727272663
2018-07-03,1694.88,50.97024953641997,0,0,0,0.0,0.0,1095625.0,1095625.0,0.0,-0.003977272727272663
2018-07-05,1699.56,52.299430551199315,0,0,0,0.0,0.0,1095625.0,1095625.0,0.0,-0.003977272727272663
2018-07-06,1711.01,55.57347039418439,0,0,0,0.0,0.0,1095625.0,1095625.0,0.0,-0.003977272727272663
2018-07-09,1739.03,62.56074388544344,0,0,0,0.0,0.0,1095625.0,1095625.0,0.0,-0.003977272727272663
2018-07-10,1743.35,63.54298820991463,0,0,0,0.0,0.0,1095625.0,1095625.0,0.0,-0.003977272727272663
2018-07-11,1755.53,66.31178656905641,0,0,0,0.0,0.0,1095625.0,1095625.0,0.0,-0.003977272727272663
2018-07-12,1796.6,73.77412782273406,0,0,0,0.0,0.0,1095625.0,1095625.0,0.0,-0.003977272727272663
2018-07-13,1813.2,76.14703312326861,0,0,0,0.0,0.0,1095625.0,1095625.0,0.0,-0.003977272727272663
2018-07-16,1822.49,77.41756717697817,0,0,0,0.0,0.0,1095625.0,1095625.0,0.0,-0.003977272727272663
2018-07-17,1844.0,80.13916304982136,0,0,0,0.0,0.0,1095625.0,1095625.0,0.0,-0.003977272727272663
2018-07-18,1842.47,79.38304574184023,0,0,0,0.0,0.0,1095625.0,1095625.0,0.0,-0.003977272727272663
2018-07-19,1813.68,66.30360326117952,0,0,0,0.0,0.0,1095625.0,1095625.0,0.0,-0.003977272727272663
2018-07-20,1813.68,66.30360326117952,0,0,0,0.0,0.0,1095625.0,1095625.0,0.0,-0.003977272727272663
2018-07-23,1802.0,61.24911221326029,0,0,0,0.0,0.0,1095625.0,1095625.0,0.0,-0.003977272727272663
2018-07-24,1829.28,67.64918041987463,0,0,0,0.0,0.0,1095625.0,1095625.0,0.0,-0.003977272727272663
2018-07-25,1863.8,73.74576069656428,0,0,0,0.0,0.0,1095625.0,1095625.0,0.0,-0.003977272727272663
2018-07-26,1805.22,54.41149315515962,0,0,0,0.0,0.0,1095625.0,1095625.0,0.0,-0.003977272727272663
2018-07-27,1817.99,57.133609012566616,0,0,0,0.0,0.0,1095625.0,1095625.0,0.0,-0.003977272727272663
2018-07-30,1779.28,47.5672065164578,0,0,0,0.0,0.0,1095625.0,1095625.0,0.0,-0.003977272727272663
2018-07-31,1777.41,47.14351006037423,0,0,0,0.0,0.0,1095625.0,1095625.0,0.0,-0.003977272727272663
2018-08-01,1797.05,52.12036915287432,0,0,0,0.0,0.0,1095625.0,1095625.0,0.0,-0.003977272727272663
2018-08-02,1834.21,60.031926087825575,0,0,0,0.0,0.0,1095625.0,1095625.0,0.0,-0.003977272727272663
2018-08-03,1822.93,56.86286378317292,0,0,0,0.0,0.0,1095625.0,1095625.0,0.0,-0.003977272727272663
2018-08-06,1847.68,61.78151032280855,0,0,0,0.0,0.0,1095625.0,1095625.0,0.0,-0.003977272727272663
2018-08-07,1862.7,64.51017624707545,0,0,0,0.0,0.0,1095625.0,1095625.0,0.0,-0.003977272727272663
2018-08-08,1886.52,68.47611413562056,0,0,0,0.0,0.0,1095625.0,1095625.0,0.0,-0.003977272727272663
2018-08-09,1898.13,70.27503231257487,0,0,0,0.0,0.0,1095625.0,1095625.0,0.0,-0.003977272727272663
2018-08-10,1886.0,65.90885373985378,0,0,0,0.0,0.0,1095625.0,1095625.0,0.0,-0.003977272727272663
2018-08-13,1895.65,67.68364318678869,0,0,0,0.0,0.0,1095625.0,1095625.0,0.0,-0.003977272727272663
2018-08-14,1919.86,71.77908937369965,0,0,0,0.0,0.0,1095625.0,1095625.0,0.0,-0.003977272727272663
2018-08-15,1882.37,58.92948840064436,0,0,0,0.0,0.0,1095625.0,1095625.0,0.0,-0.003977272727272663
